,O,PER_B,PER_I,LOC_B,LOC_I,ORG_B,ORG_I,micro avg,macro avg,weighted avg
precision,0.9939009106859387,0.9605263157894737,0.0,0.9058171745152355,0.0,0.6974358974358974,0.0,0.9787078109932498,0.5082400426323636,0.9813803955428492
recall,0.9864831246372004,0.9339019189765458,0.0,0.7767220902612827,0.0,0.8898582333696837,0.0,0.9787078109932498,0.5124236238921018,0.9787078109932498
f1-score,0.9901781255202264,0.947027027027027,0.0,0.8363171355498722,0.0,0.7819837086727359,0.0,0.9787078109932498,0.5079294281099802,0.9795348228309313
support,24118.0,469.0,0.0,421.0,0.0,917.0,0.0,25925.0,25925.0,25925.0
