,O,PER_B,PER_I,LOC_B,LOC_I,ORG_B,ORG_I,accuracy,macro avg,weighted avg
precision,0.9939009106859387,0.9195804195804196,0.9705882352941176,0.8424657534246576,0.8840579710144928,0.69558599695586,0.6042884990253411,0.9756605593056895,0.844352540854404,0.9787844687276874
recall,0.9864831246372004,0.9195804195804196,0.9016393442622951,0.8172757475083057,0.5083333333333333,0.8400735294117647,0.8310991957104558,0.9756605593056895,0.8292120992062534,0.9756605593056895
f1-score,0.9901781255202264,0.9195804195804196,0.9348441926345609,0.8296795952782462,0.6455026455026456,0.7610324729392174,0.6997742663656885,0.9756605593056895,0.8257988168315721,0.9765633118928198
support,24118.0,286.0,183.0,301.0,120.0,544.0,373.0,0.9756605593056895,25925.0,25925.0
