,O,PER_B,PER_I,LOC_B,LOC_I,ORG_B,ORG_I,accuracy,macro avg,weighted avg
precision,0.993403749008475,0.9163763066202091,0.9649122807017544,0.8424657534246576,0.8840579710144928,0.6998468606431854,0.604,0.9754676952748312,0.8435804173446819,0.9783318044412982
recall,0.9866075130607844,0.9195804195804196,0.9016393442622951,0.8172757475083057,0.5083333333333333,0.8400735294117647,0.8096514745308311,0.9754676952748312,0.8261659088125334,0.9754676952748312
f1-score,0.989993967256766,0.9179755671902269,0.9322033898305084,0.8296795952782462,0.6455026455026456,0.7635756056808689,0.6918671248568156,0.9754676952748312,0.8243996993708683,0.9762952431072374
support,24118.0,286.0,183.0,301.0,120.0,544.0,373.0,0.9754676952748312,25925.0,25925.0
