,O,PER_B,PER_I,LOC_B,LOC_I,ORG_B,ORG_I,accuracy,macro avg,weighted avg
precision,0.9934062265253317,0.8865979381443299,0.9627329192546584,0.8417508417508418,0.8591549295774648,0.7078125,0.6222664015904572,0.9756605593056895,0.8391031081204405,0.9782966043811135
recall,0.9869806783315366,0.9020979020979021,0.8469945355191257,0.8305647840531561,0.5083333333333333,0.8327205882352942,0.839142091152815,0.9756605593056895,0.8209762732461662,0.9756605593056895
f1-score,0.9901830282861896,0.8942807625649912,0.9011627906976745,0.8361204013377926,0.6387434554973821,0.7652027027027026,0.7146118721461187,0.9756605593056895,0.8200435733189787,0.9763954992879739
support,24118.0,286.0,183.0,301.0,120.0,544.0,373.0,0.9756605593056895,25925.0,25925.0
