,O,PER_B,PER_I,LOC_B,LOC_I,ORG_B,ORG_I,accuracy,macro avg,weighted avg
precision,0.9953204229150934,0.8900709219858156,0.9236363636363636,0.9194061505832449,0.8669950738916257,0.8110200364298725,0.7981770833333334,0.9837117350110661,0.8863751503964784,0.9843901780804741
recall,0.9916428177946175,0.9182926829268293,0.918625678119349,0.8984455958549222,0.7685589519650655,0.8760452533202164,0.8763402430307362,0.9837117350110661,0.8925644604302481,0.9837117350110661
f1-score,0.9934782169754811,0.9039615846338536,0.9211242067089755,0.9088050314465408,0.8148148148148149,0.8422794986994562,0.8354344122657581,0.9837117350110661,0.8885568236492686,0.9839722210740093
support,74427.0,820.0,553.0,965.0,229.0,2033.0,1399.0,0.9837117350110661,80426.0,80426.0
